site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__physical_inventory_state,core__stock_movement_capture,core__low_touch_inventory_capture,core__multi_location_control,core__lot_expiry_traceability,core__replenishment_action,aux__operational_solution_evidence,aux__operational_solution_evidence__flag,aux__item_container_identity,aux__item_container_identity__flag,aux__point_of_use_stockroom_context,aux__point_of_use_stockroom_context__flag,aux__hospital_foodservice_context,aux__hospital_foodservice_context__flag,aux__institutional_foodservice_context,aux__institutional_foodservice_context__flag,aux__adjacent_transferable_inventory_context,aux__adjacent_transferable_inventory_context__flag,aux__human_scan_capture,aux__human_scan_capture__flag,aux__passive_automatic_capture,aux__passive_automatic_capture__flag,aux__cold_chain_condition_monitoring,aux__cold_chain_condition_monitoring__flag,aux__erp_procurement_integration,aux__erp_procurement_integration__flag,aux__brazil_portuguese_support,aux__brazil_portuguese_support__flag,aux__small_multi_location_deployment_evidence,aux__small_multi_location_deployment_evidence__flag,aux__managed_inventory_service_model,aux__managed_inventory_service_model__flag,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
AMZ Prep,https://amzprep.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,de49c57e6acc405694cdeef2b829c2a7,85.72,84.85,88.85,86.85,88.6,94.85,64.05,58.65,False,86.7,True,27.25,False,9.6,False,36.3,False,51.1,False,91.15,True,25.75,False,94.45,True,62.3,False,10.9,False,87.45,True,76.2,True,True,705,705,lot_expiry_traceability,replenishment_action
Symphony,https://www.boonsoftware.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,7155c5f8b2bd45f5882c191d7cd35e8f,85.27,84.6,84.15,87.2,83.25,88.45,81.55,62.0,False,81.6,True,23.15,False,13.55,False,56.05,False,74.25,True,86.75,True,66.45,False,82.0,True,82.6,True,24.85,False,76.35,True,57.25,False,True,332,332,lot_expiry_traceability,replenishment_action
RFID Discovery,https://www.rfiddiscovery.com/en,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,9efe2621bbb2403fb637f04b0272ac9d,85.11,90.6,93.45,93.0,76.45,82.0,67.3,74.35,True,90.6,True,71.85,True,31.25,False,11.65,False,81.45,True,92.05,True,89.85,True,93.6,True,75.7,True,3.85,False,76.9,True,44.85,False,True,201,201,stock_movement_capture,replenishment_action
Hopstack Inc,https://www.hopstack.io/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,e50f58f007094a8caf7e8b025042d91d,84.24,85.45,85.3,82.9,85.45,87.55,76.65,54.9,False,85.05,True,25.4,False,6.6,False,10.8,False,49.65,False,88.45,True,38.2,False,75.2,True,88.85,True,26.2,False,71.05,True,38.15,False,True,350,350,lot_expiry_traceability,replenishment_action
repleno,https://repleno.com/en,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,0da8a0ec0475454198b8c5d1e9bc7b97,84.14,95.0,97.0,93.6,94.85,40.8,94.85,82.2,True,85.9,True,79.6,True,7.3,False,11.85,False,50.9,False,95.85,True,16.95,False,10.7,False,30.7,False,4.0,False,87.85,True,80.35,True,False,178,178,stock_movement_capture,lot_expiry_traceability
Scan4Safety,https://d25cc5egulecyi.cloudfront.net/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,857a286344da498989f0861b47e3b9f9,84.14,84.15,88.45,91.65,78.4,79.5,80.1,74.1,True,84.15,True,81.75,True,55.95,False,4.6,False,77.6,True,90.1,True,37.35,False,9.8,False,68.7,False,2.0,False,79.45,True,39.5,False,True,17,17,low_touch_inventory_capture,multi_location_control
Yellow Dog Software,https://www.yellowdogsoftware.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,fb2b6f460d6c439daeac488196d37b42,83.16,92.45,95.7,90.45,91.45,45.45,93.6,74.25,True,79.55,True,68.65,False,82.8,True,88.8,True,84.6,True,93.55,True,33.55,False,23.6,False,91.85,True,2.0,False,89.05,True,37.85,False,True,67,67,stock_movement_capture,lot_expiry_traceability
aksulit,https://aksulit.com,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,b31f2339a9ee450fa631cede7862a1bb,82.92,93.6,93.85,94.6,82.05,54.9,79.7,74.5,True,88.15,True,82.7,True,11.65,False,10.45,False,82.05,True,93.0,True,92.45,True,13.6,False,57.55,False,2.0,False,77.35,True,89.45,True,True,96,96,low_touch_inventory_capture,lot_expiry_traceability
FoodNotify,https://www.foodnotify.com/de/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,4eb2cd84250b415298f462b56f11c20a,82.65,88.45,91.2,86.6,91.85,61.0,82.25,81.45,True,71.15,True,50.8,False,44.8,False,95.6,True,89.0,True,89.05,True,36.7,False,76.45,True,90.45,True,11.55,False,90.45,True,42.45,False,True,255,255,multi_location_control,lot_expiry_traceability
CUBEX,https://www.cubex.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,5a47dc708cbc4e5ab90c7134ab00c7eb,82.25,90.65,91.85,86.6,72.2,67.55,83.9,74.5,True,83.45,True,63.25,False,32.75,False,5.85,False,84.25,True,14.2,False,77.2,True,92.2,True,77.65,True,3.0,False,73.3,True,57.55,False,False,135,135,stock_movement_capture,lot_expiry_traceability
Rife Medical Furniture,https://rifemedical.in/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,d5d1210b49f94617a71f50d0f2ebe16f,82.21,91.3,93.8,95.3,60.45,92.05,38.85,62.3,False,90.85,True,73.2,True,12.4,False,8.7,False,80.05,True,76.5,True,90.15,True,77.45,True,21.6,False,2.0,False,71.8,True,39.2,False,True,232,232,low_touch_inventory_capture,replenishment_action
ERPmaster,https://erpmaster.io/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,58a5f3ae8faa400599f33577fdcaa62d,82.11,92.6,94.6,61.45,94.0,82.6,70.7,58.6,False,68.05,False,34.6,False,13.9,False,63.25,False,86.15,True,5.6,False,21.3,False,26.6,False,71.65,True,3.0,False,87.0,True,26.15,False,True,87,87,stock_movement_capture,low_touch_inventory_capture
WISK,https://www.wisk.ai/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,4fa21c2cbb8a47adbc029e82a5ed0962,82.07,87.0,88.85,90.45,90.85,52.7,90.85,70.45,True,82.85,True,59.05,False,8.65,False,89.2,True,87.6,True,91.6,True,56.9,False,82.15,True,87.7,True,8.2,False,85.0,True,40.45,False,True,381,381,multi_location_control,lot_expiry_traceability
Ergonomic Corporation Hongkong Ltd,https://www.ergoshopping.com.hk/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,6ad85f761b1048e9ad59dedb3f07a746,81.83,89.7,90.75,93.0,63.75,77.9,65.05,65.85,False,83.6,True,74.45,True,23.5,False,18.55,False,85.6,True,79.5,True,89.65,True,89.15,True,57.25,False,3.45,False,74.45,True,32.4,False,True,123,123,low_touch_inventory_capture,multi_location_control
Focus Softnet,https://www.focussoftnet.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,2b9e700b87a84c8bb82ee956509c6de7,81.77,85.6,84.0,89.0,76.6,85.25,61.0,50.6,False,69.4,False,17.0,False,7.2,False,59.85,False,68.2,False,85.6,True,32.0,False,18.3,False,69.0,False,13.85,False,70.0,True,22.45,False,True,834,834,low_touch_inventory_capture,replenishment_action
MarketMan,https://www.marketman.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,f446b8d39555491aad085c806453a03c,81.42,88.45,92.7,78.95,90.15,58.75,88.15,78.2,True,59.85,False,53.3,False,27.25,False,92.0,True,83.45,True,82.85,True,26.2,False,73.7,True,88.2,True,25.2,False,87.65,True,43.3,False,True,275,275,stock_movement_capture,lot_expiry_traceability
Infor,https://www.infor.com/pt-br,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,7c06b063ca504c6081c60cd83f4d8431,81.09,88.65,85.6,85.5,75.45,82.65,59.7,52.7,False,81.1,True,26.6,False,11.6,False,67.2,False,52.95,False,81.5,True,55.55,False,78.0,True,69.25,False,68.2,False,60.5,False,54.8,False,True,227,227,physical_inventory_state,replenishment_action
Zilicius,https://zilicius.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,580295b3b07a4d80b5a00615e788ada8,80.52,80.25,85.65,74.9,82.7,84.6,75.1,61.15,False,62.7,False,23.9,False,32.2,False,80.7,True,79.8,True,72.35,True,31.6,False,77.9,True,74.25,True,3.0,False,75.65,True,26.05,False,True,112,112,stock_movement_capture,low_touch_inventory_capture
Trident Information Systems,https://tridentinfo.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,6f0ea3cf548e4af99e581b4c37548a7d,79.75,74.75,83.6,72.25,78.25,88.15,83.2,44.1,False,65.7,False,17.1,False,4.6,False,55.85,False,72.85,True,71.05,True,44.9,False,72.2,True,76.85,True,18.4,False,63.1,False,23.0,False,True,392,392,lot_expiry_traceability,low_touch_inventory_capture
SoftwareSuggest,https://www.softwaresuggest.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,3b3cb6dc731a4ba0b81a8824f4c6c616,79.74,87.05,83.45,74.15,82.9,82.55,64.9,57.4,False,69.35,False,25.5,False,11.6,False,62.4,False,76.7,True,76.85,True,14.05,False,16.65,False,67.1,False,49.85,False,67.15,False,22.4,False,True,232,232,physical_inventory_state,replenishment_action
PIPRA Solutions,https://www.pipra.solutions/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,e3c8515847f04158b37825176168a846,79.73,83.2,87.55,90.45,72.95,80.8,52.7,50.75,False,83.8,True,14.6,False,5.6,False,9.05,False,67.4,False,86.05,True,70.55,True,94.45,True,77.35,True,4.0,False,53.0,False,20.25,False,True,64,64,low_touch_inventory_capture,replenishment_action
Softr,https://www.softr.io/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,d027ee19e2aa4d3588165dd9a43a767c,79.73,88.85,87.7,75.35,86.45,70.0,71.4,63.6,False,73.25,True,50.1,False,7.3,False,46.2,False,80.4,True,82.5,True,12.4,False,12.05,False,43.9,False,33.95,False,74.7,True,23.8,False,True,358,358,physical_inventory_state,lot_expiry_traceability
SciSure,https://www.scisure.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,36cfd4476c924d16b6c8188f856accb7,79.19,87.6,84.2,88.85,67.6,82.65,50.3,66.6,False,85.6,True,29.45,False,6.45,False,11.8,False,80.2,True,92.6,True,15.85,False,88.6,True,43.15,False,9.8,False,65.0,False,20.6,False,True,421,421,low_touch_inventory_capture,replenishment_action
growyze,https://www.growyze.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,00ba95cfc79b41d88ca607325747c6d9,79.07,87.7,95.0,86.85,87.3,48.55,74.3,81.6,True,75.85,True,48.75,False,11.35,False,88.55,True,90.85,True,93.6,True,14.0,False,81.2,True,87.6,True,2.85,False,87.6,True,38.85,False,True,109,109,stock_movement_capture,lot_expiry_traceability
inpulse,https://www.inpulse.ai/en,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,c30349ccd238435fa96a16c12e051557,79.06,82.8,91.15,81.5,84.6,62.1,76.25,78.85,True,65.4,False,40.5,False,4.0,False,92.85,True,86.0,True,88.85,True,19.4,False,69.3,False,89.3,True,27.85,False,91.05,True,35.0,False,True,197,197,stock_movement_capture,lot_expiry_traceability
YCR Distribution Limited,https://ezeepos.co.uk/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,56420e289c9d45aeac737313e6cef146,79.0,86.85,92.2,67.2,85.45,74.4,70.4,74.1,True,65.85,False,31.85,False,11.4,False,80.3,True,83.85,True,63.25,False,27.85,False,85.5,True,67.9,False,4.45,False,66.7,False,20.85,False,True,316,316,stock_movement_capture,low_touch_inventory_capture
Rife Technologies,https://www.rifeindia.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,963e76aca4bc467ca453036688537c59,78.58,92.6,94.2,95.0,48.15,78.25,42.1,72.7,True,88.45,True,70.6,True,18.65,False,57.45,False,86.0,True,70.5,True,93.15,True,30.6,False,31.5,False,5.5,False,63.1,False,55.9,False,True,368,368,low_touch_inventory_capture,replenishment_action
MarketSquare Tech,https://marketsquaretech.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,d398546974e44d0ca88047edcff89d11,78.42,78.25,88.0,83.4,80.1,58.9,88.75,63.05,False,70.4,True,23.65,False,47.25,False,79.55,True,73.6,True,51.3,False,38.9,False,16.7,False,88.6,True,2.0,False,66.2,False,28.85,False,True,123,123,replenishment_action,lot_expiry_traceability
Homme de marché,https://fr.marketman.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,90bee8372a1143bfbbc7fa6b3c1d6bdc,78.29,85.0,88.45,74.1,89.0,56.3,86.55,72.45,True,62.85,False,50.05,False,24.95,False,92.05,True,84.2,True,81.3,True,19.3,False,84.6,True,85.6,True,25.7,False,86.85,True,40.05,False,True,320,320,multi_location_control,lot_expiry_traceability
FoodReady,https://foodready.ai/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,10ebe895ce764d79a9cda3ed68c9d5a8,77.92,78.05,84.5,78.35,69.15,90.55,57.7,56.6,False,80.2,True,30.5,False,53.7,False,74.2,True,60.95,False,84.2,True,23.0,False,89.65,True,61.65,False,14.25,False,50.2,False,20.2,False,True,447,447,lot_expiry_traceability,replenishment_action
Kitchen Stocker,https://www.kitchenstocker.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,c22b81aec1644f4987fc495567b209ef,77.85,94.0,97.0,49.65,94.6,56.3,91.85,82.0,True,63.05,False,62.3,False,3.6,False,85.6,True,84.6,True,15.75,False,39.2,False,43.75,False,52.6,False,60.0,False,87.6,True,45.25,False,True,131,131,stock_movement_capture,low_touch_inventory_capture
Seventhsense Technologies,https://www.7stl.com/index.html,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,c354b3b3f0954471b217e2f8bb0ea21e,77.59,82.05,90.3,76.1,85.55,68.15,64.75,66.8,False,60.05,False,41.95,False,36.05,False,86.05,True,74.6,True,66.25,False,4.0,False,9.45,False,77.5,True,8.9,False,81.05,True,33.75,False,True,20,20,stock_movement_capture,replenishment_action
AppIntent,https://www.appintent.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,b1ab8f6337754398a48d4b9a2382d8ed,77.22,76.85,75.95,77.1,82.2,78.85,71.9,47.3,False,67.85,False,20.9,False,7.05,False,68.05,False,68.9,False,82.35,True,52.2,False,61.05,False,68.0,False,10.9,False,58.3,False,22.6,False,False,387,387,multi_location_control,replenishment_action
Sculpture Hospitality,https://www.sculpturehospitality.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,2a503cda76f946d1bfd457cb05b235ab,76.62,78.6,84.45,83.65,67.65,67.0,77.2,68.35,False,72.7,True,46.05,False,5.8,False,75.55,True,79.6,True,83.45,True,48.55,False,85.7,True,60.5,False,12.6,False,73.35,True,72.25,True,True,208,208,stock_movement_capture,lot_expiry_traceability
Sapiens,https://sapiensinfo.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,e2f587aaddfa42a0af35f3070be6304b,76.28,82.05,86.85,69.5,67.3,77.8,71.75,45.35,False,55.25,False,54.05,False,21.35,False,4.2,False,76.3,True,55.9,False,12.4,False,16.85,False,54.8,False,3.0,False,58.25,False,21.9,False,True,41,41,stock_movement_capture,multi_location_control
TouchPoint Medical,https://www.touchpointmed.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,670053dc660f4e829d192a58921f9d9d,75.72,79.55,86.2,83.6,59.55,79.45,54.65,64.45,False,80.45,True,69.7,False,5.6,False,3.6,False,78.0,True,76.25,True,44.55,False,55.55,False,21.3,False,10.0,False,74.8,True,38.1,False,True,221,221,stock_movement_capture,replenishment_action
Officehubtech,https://officehubtech.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,e294c34097c948c6baa8ce8288ed6ff8,75.4,81.8,75.85,71.6,82.0,69.45,73.65,39.8,False,64.05,False,16.0,False,6.2,False,19.05,False,50.25,False,72.15,True,14.1,False,39.3,False,81.8,True,6.3,False,66.45,False,22.8,False,True,374,374,multi_location_control,lot_expiry_traceability
NewIcon Oy,https://newicon.fi/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,0d5dcd14d0c64d5184c1a7dee89d112d,74.77,81.15,86.7,89.8,59.25,72.25,45.75,73.7,True,74.0,True,78.05,True,6.2,False,4.6,False,81.85,True,40.9,False,74.35,True,74.8,True,80.35,True,3.2,False,80.6,True,48.55,False,True,110,110,low_touch_inventory_capture,replenishment_action
Lightspeed,https://www.lightspeedhq.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,b8a86669758b4135ad71a991bed1cc89,73.18,85.7,89.45,83.1,88.3,22.9,83.05,60.65,False,67.25,False,43.0,False,4.0,False,72.85,True,62.15,False,88.05,True,14.0,False,8.0,False,85.6,True,14.45,False,70.85,True,27.45,False,True,249,249,stock_movement_capture,lot_expiry_traceability
Pxier,https://www.pxier.com/en/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,991bfca0b02a4a928d0c1c12e595980a,72.73,87.45,96.0,88.85,84.75,8.85,85.65,72.2,True,57.0,False,29.25,False,4.85,False,78.9,True,82.7,True,92.85,True,25.8,False,4.0,False,74.55,True,33.15,False,70.85,True,31.6,False,True,319,319,stock_movement_capture,lot_expiry_traceability
Daftra Knowledge Base,https://docs.daftra.com/en/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,f2ab36b465614b858adb7d4295805721,71.52,85.6,91.85,50.0,73.4,79.5,44.35,59.45,False,80.3,True,24.8,False,3.6,False,17.45,False,33.45,False,47.45,False,7.45,False,4.0,False,56.45,False,3.0,False,49.85,False,19.45,False,True,255,255,stock_movement_capture,replenishment_action
Vusion,https://www.vusion.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,5f116273c63644b888e15bcfb049085d,71.3,75.05,61.95,82.6,70.5,68.8,63.25,57.0,False,65.85,False,20.2,False,5.6,False,38.4,False,77.7,True,49.9,False,79.2,True,46.95,False,78.85,True,33.3,False,83.9,True,27.4,False,True,215,215,low_touch_inventory_capture,stock_movement_capture
Upper,https://www.upperinc.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,84d2e9746a93429fbf5fa89c7bc23286,70.88,84.45,81.25,68.4,78.5,67.55,38.4,56.0,False,66.4,False,15.3,False,6.45,False,50.25,False,48.25,False,74.55,True,37.45,False,51.25,False,46.2,False,5.4,False,61.75,False,29.45,False,True,667,667,physical_inventory_state,replenishment_action
AminoCloud,https://aminocloud.com/,distributed_perishable_inventory_management,1.0.0,1bf3d832c7fa33fb6455ff5d20af0292e3584d9a20a14712c522d889504db03f,4f4c224aea67472186d544b35249400f,70.67,76.45,74.85,72.5,34.65,86.55,64.05,55.85,False,81.8,True,11.9,False,4.85,False,3.0,False,78.9,True,71.3,True,11.2,False,60.75,False,48.15,False,2.0,False,33.35,False,31.25,False,False,11,11,lot_expiry_traceability,multi_location_control
