site_name,site_url,digital_twin_adherence_score,specific_counterpart,individualized_data_link,repeated_synchronization,simulation_prediction,self_claim_score,self_claim,enabling_technology_score,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
medcast,https://medcast.com.au,31.19,36.25,21.2,53.15,50.25,2.0,False,63.9,True,125,125,repeated_synchronization,individualized_data_link
dosespot,https://dosespot.com,30.93,37.7,33.4,52.85,24.0,2.0,False,64.9,False,100,100,repeated_synchronization,simulation_prediction
lumiio,https://www.lumiio.com/airare,30.58,32.85,27.5,38.2,32.85,3.0,False,84.05,False,18,18,repeated_synchronization,individualized_data_link
docquity,https://docquity.com,30.41,59.2,19.7,43.4,39.3,2.0,False,76.1,True,251,83,specific_counterpart,individualized_data_link
mpharma,https://mpharma.com,30.35,28.1,30.1,42.45,28.65,2.0,False,74.2,False,8,8,repeated_synchronization,specific_counterpart
lumahealth,https://www.lumahealth.io,30.2,20.9,26.95,74.25,42.0,2.0,False,78.85,True,137,137,repeated_synchronization,specific_counterpart
medvarsity,https://www.medvarsity.com,30.09,31.5,25.55,25.2,61.0,2.0,False,83.45,True,233,233,simulation_prediction,repeated_synchronization
patientory,https://patientory.com/enterprises/individuals,29.89,28.75,26.85,40.65,33.1,2.0,False,76.7,False,10,10,repeated_synchronization,individualized_data_link
nome,https://www.nome.bio/about,29.41,40.45,29.0,19.0,78.4,2.85,False,75.55,False,14,14,simulation_prediction,repeated_synchronization
picnichealth,https://picnichealth.com,29.08,50.3,23.6,88.85,17.45,3.6,False,86.7,False,530,530,repeated_synchronization,simulation_prediction
learnroll,https://learnroll.com/en-us/home.aspx,28.69,37.75,21.0,21.6,76.35,3.0,False,90.45,True,31,31,simulation_prediction,individualized_data_link
scholarrx,https://scholarrx.com,28.69,47.35,18.85,31.6,54.7,2.6,False,71.0,True,99,99,simulation_prediction,individualized_data_link
novellia,https://novellia.com,28.5,38.85,20.35,71.65,23.4,2.0,False,82.85,False,10,10,repeated_synchronization,individualized_data_link
saventic,https://www.saventic.com,28.31,28.5,21.65,37.5,49.7,6.8,False,70.65,False,7,7,simulation_prediction,individualized_data_link
pranadoc,https://www.pranadoc.com,27.58,19.05,24.5,48.8,53.8,2.0,False,57.8,False,34,34,simulation_prediction,specific_counterpart
eka,https://www.eka.care,27.08,63.9,18.05,55.2,18.85,2.0,False,70.25,True,84,84,specific_counterpart,individualized_data_link
epistudia,https://www.epistudia.com/home,26.87,39.05,21.55,25.15,40.45,2.0,False,40.8,False,47,47,simulation_prediction,individualized_data_link
info,https://info.h2hdigitalrx.com,26.64,16.15,27.25,45.9,63.3,2.0,False,73.75,False,17,17,simulation_prediction,specific_counterpart
embodiedlabs,https://www.embodiedlabs.com,26.63,78.25,15.0,16.45,72.45,3.0,False,90.6,False,50,50,specific_counterpart,individualized_data_link
care,https://care-harmony.com,26.4,19.25,28.45,50.1,34.4,2.0,False,71.6,True,77,77,repeated_synchronization,specific_counterpart
omanta,https://omanta.com,25.92,16.0,36.0,29.0,67.0,2.0,False,83.0,False,1,1,simulation_prediction,specific_counterpart
startup,https://startup.google.com/alumni/stories/careacademy/,25.8,17.05,45.65,31.4,41.0,2.0,False,63.55,True,192,7,individualized_data_link,specific_counterpart
foundation29,https://foundation29.org/tools,25.55,21.35,17.7,47.7,49.8,2.0,False,66.3,False,5,5,simulation_prediction,individualized_data_link
experityhealth,https://www.experityhealth.com/,25.06,22.9,19.85,55.25,26.4,11.6,False,64.4,True,113,113,repeated_synchronization,individualized_data_link
engagedmd,https://www.engagedmd.com/navigate,24.95,39.5,18.8,40.25,23.85,2.0,False,66.3,False,55,55,repeated_synchronization,individualized_data_link
medrafa,https://medrafa.et,24.4,28.1,18.05,48.4,27.4,2.0,False,75.85,False,19,19,repeated_synchronization,individualized_data_link
crossoverhealth,https://crossoverhealth.com,24.1,38.9,28.2,23.45,20.05,2.0,False,55.7,False,60,60,specific_counterpart,simulation_prediction
driefcase,https://www.driefcase.com,23.22,46.05,17.9,51.45,15.4,2.6,False,73.45,True,88,88,repeated_synchronization,simulation_prediction
kangaroohealth,https://www.kangaroohealth.com,22.99,27.8,19.0,60.9,16.8,2.0,False,82.6,False,5,5,repeated_synchronization,simulation_prediction
nevvon,https://www.nevvon.com,22.67,15.2,26.4,40.6,35.9,2.0,False,69.35,False,42,42,repeated_synchronization,specific_counterpart
arine,https://www.arine.io,22.31,9.9,29.5,50.3,59.5,2.0,False,73.55,False,6,6,simulation_prediction,specific_counterpart
healthconcierge,https://healthconcierge.co,22.26,24.25,21.1,21.3,25.8,2.0,False,43.55,False,11,11,simulation_prediction,individualized_data_link
fortahealth,https://www.fortahealth.com/parent-training,22.21,18.4,19.4,22.6,46.5,2.0,False,60.35,False,100,100,simulation_prediction,specific_counterpart
verto,https://verto.health/us,22.06,12.0,32.0,35.0,51.0,99.0,True,72.0,False,1,1,simulation_prediction,specific_counterpart
raresum,https://www.raresum.com,21.45,18.0,19.85,26.4,33.7,2.0,False,77.85,False,14,14,simulation_prediction,specific_counterpart
photonhealth,https://photonhealth.com,21.35,20.3,14.6,56.55,26.65,2.0,False,75.45,False,25,25,repeated_synchronization,individualized_data_link
vyanatech,https://www.vyanatech.com,20.98,16.55,16.45,26.15,46.65,2.0,False,70.1,False,4,4,simulation_prediction,individualized_data_link
docdok,https://www.docdok.health/en,20.95,19.4,18.85,26.9,25.35,2.6,False,78.15,False,9,9,repeated_synchronization,individualized_data_link
scriptologyhealth,https://scriptologyhealth.com,20.5,11.0,30.8,44.6,34.35,2.0,False,71.9,False,7,7,repeated_synchronization,specific_counterpart
perxhealth,https://www.perxhealth.com,20.4,20.25,19.0,24.85,21.65,2.0,False,45.1,False,17,17,repeated_synchronization,individualized_data_link
pairteam,https://pairteam.com,20.38,15.2,22.75,34.85,26.75,2.0,False,64.9,False,3,3,repeated_synchronization,specific_counterpart
ferry,https://ferry.health,19.89,19.7,20.85,35.85,16.45,1.85,False,36.9,False,6,6,repeated_synchronization,simulation_prediction
parachutehealth,https://www.parachutehealth.com,19.52,19.3,19.9,47.35,14.7,2.0,False,71.6,True,71,71,repeated_synchronization,simulation_prediction
foundationhealth,https://www.foundationhealth.com,19.5,14.8,19.25,28.7,32.1,2.0,False,68.8,False,9,9,simulation_prediction,specific_counterpart
pocketpills,https://www.pocketpills.com,18.44,60.75,16.6,36.2,9.6,2.0,False,28.9,True,518,518,specific_counterpart,simulation_prediction
medvoice,https://www.medvoice.ai,18.11,11.0,26.0,28.0,34.0,2.0,False,80.0,False,1,1,simulation_prediction,specific_counterpart
heidihealth,https://www.heidihealth.com,18.07,12.6,17.85,31.45,31.45,2.0,False,50.2,True,175,175,repeated_synchronization,specific_counterpart
virohan,https://www.virohan.com,17.46,16.45,16.0,26.0,16.9,2.6,False,39.85,True,213,195,repeated_synchronization,individualized_data_link
crescendo,https://www.crescendo.health,17.26,24.25,15.45,37.65,12.45,2.0,False,82.45,False,6,6,repeated_synchronization,simulation_prediction
rdcom,https://rdcom.global,16.66,12.71,16.71,16.71,39.06,2.0,False,65.12,False,2,2,simulation_prediction,specific_counterpart
sword,https://sword.com,16.57,9.0,19.0,22.0,58.0,3.0,False,35.0,True,1,1,simulation_prediction,specific_counterpart
elemenohealth,https://www.elemenohealth.com,16.46,12.8,17.45,28.15,20.3,2.6,False,53.05,False,9,9,repeated_synchronization,specific_counterpart
flourish,https://www.flourish.health,16.34,13.5,16.05,18.45,27.65,2.0,False,57.4,False,6,6,simulation_prediction,specific_counterpart
caremarketplace,https://caremarketplace.co.uk,16.14,16.0,14.0,17.0,25.0,2.0,False,23.0,False,1,1,simulation_prediction,individualized_data_link
healthstay,https://www.healthstay.io,15.59,10.0,16.0,40.6,21.4,2.0,False,68.15,False,19,19,repeated_synchronization,specific_counterpart
capsule,https://www.capsule.com,15.33,26.0,16.0,15.0,13.0,2.0,False,17.0,False,1,1,specific_counterpart,simulation_prediction
helloprofessor,https://www.helloprofessor.com,15.0,39.3,16.15,22.8,9.0,2.0,False,25.5,False,16,16,specific_counterpart,simulation_prediction
medarrive,https://www.medarrive.com,14.76,7.7,19.05,32.05,30.5,2.0,False,74.85,False,5,5,repeated_synchronization,specific_counterpart
ambitos,https://ambitos.com,14.38,7.0,16.0,62.0,20.0,2.0,False,73.0,False,1,1,repeated_synchronization,specific_counterpart
withpillar,https://withpillar.com,13.98,12.05,22.9,19.05,11.45,2.0,False,40.25,False,6,6,individualized_data_link,simulation_prediction
iprescribe,https://www.iprescribe.com,13.62,10.0,16.85,24.7,15.9,2.0,False,50.6,False,7,7,repeated_synchronization,specific_counterpart
matkahealth,https://matkahealth.carrd.co/,12.66,9.0,16.0,19.0,19.0,2.0,False,52.0,False,1,1,repeated_synchronization,specific_counterpart
vimedra,https://vimedra.ai,12.4,11.0,12.0,16.0,15.0,2.0,False,32.0,False,1,1,repeated_synchronization,specific_counterpart
voithos360,https://www.voithos360.com,12.14,9.0,13.0,25.0,14.0,2.0,False,48.0,False,1,1,repeated_synchronization,specific_counterpart
prescripto,https://www.prescripto.com.br,11.95,6.0,19.0,47.0,12.0,2.0,False,75.0,False,1,1,repeated_synchronization,specific_counterpart
we4care,https://www.we4care.ch,11.52,11.0,14.0,16.0,10.0,2.0,False,38.0,False,1,1,repeated_synchronization,simulation_prediction
kaigohealth,https://www.kaigohealth.ai,11.21,7.71,14.82,21.41,13.76,2.0,False,54.76,False,2,2,repeated_synchronization,specific_counterpart
giblib,https://www.giblib.com,10.85,8.71,13.82,14.12,13.35,2.0,False,36.82,False,2,2,repeated_synchronization,specific_counterpart
thesiscare,https://thesiscare.com,10.74,7.45,13.45,17.15,16.25,2.0,False,38.8,False,4,4,repeated_synchronization,specific_counterpart
gocarehero,https://www.gocarehero.com,8.3,6.0,12.0,13.0,10.0,1.0,False,15.0,False,1,1,repeated_synchronization,specific_counterpart
