site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__specific_counterpart,core__individualized_data_link,core__repeated_synchronization,core__simulation_prediction,aux__self_claim,aux__self_claim__flag,aux__enabling_technology,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
fulcrumneuro,https://www.fulcrumneuro.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,3c414c9fb5c44f0fbd41dcb3338de19b,44.7,40.65,44.6,38.2,83.5,98.0,True,89.85,False,4,4,simulation_prediction,repeated_synchronization
avatarsbio,https://avatarsbio.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,aafbae80f69a4649a8b5d277d631d009,44.52,89.8,62.4,23.4,89.95,93.4,True,92.45,False,10,10,simulation_prediction,repeated_synchronization
lxr,https://l-x-r.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,1c1380e992a647a7946b32f3112138b5,44.25,32.25,45.1,75.55,67.85,97.1,True,73.2,False,3,3,repeated_synchronization,specific_counterpart
skairos,https://skairos.io,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9b7bf3ca963d4aa8b2c2e60f7604e8f2,44.16,68.41,53.35,28.41,86.12,70.06,True,93.82,False,2,2,simulation_prediction,repeated_synchronization
mydigitaltwin,https://www.mydigitaltwin.at,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,3972d7a6fca1414885f98951ea7695a3,43.51,66.2,62.6,50.5,32.3,98.85,True,76.65,True,84,84,specific_counterpart,simulation_prediction
cellverse,https://www.cellverse.org,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,546846d2a53e437a84ef5bc34e1f496a,42.78,57.3,32.25,36.85,90.35,98.6,True,88.15,False,3,3,simulation_prediction,individualized_data_link
ventcreativity,https://www.ventcreativity.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,143bc67430c04ec9aca8c32a8a3e62a5,42.71,57.0,46.0,29.0,95.0,98.0,True,91.0,False,1,1,simulation_prediction,repeated_synchronization
brainboostxr,https://www.brainboostxr.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,cd18a02c23cc4ba096ac76bd58690500,42.57,32.15,39.8,69.65,67.5,92.5,True,84.6,False,4,4,repeated_synchronization,specific_counterpart
twinsight,https://twinsight-medical.com/services-en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,6bc224a509a64dc08483dac890464b6a,39.83,58.65,45.12,24.76,94.41,98.71,True,90.0,False,2,2,simulation_prediction,repeated_synchronization
biomedsimulation,https://www.biomedsimulation.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,70fb0b3377f94d4c8d2da7c028307954,39.49,73.3,22.85,49.1,79.6,6.85,False,93.8,True,126,126,simulation_prediction,individualized_data_link
Basgenbio,https://basgenbio.com/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,fac7363efb774d83a1acaf4166a5a58c,38.39,40.3,25.45,54.2,87.85,3.45,False,88.25,True,7,7,simulation_prediction,individualized_data_link
theranetrix,https://theranetrix.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,e7cd668f10f241518c132e8722f843e4,37.43,20.4,46.15,72.55,82.95,84.4,True,78.25,True,54,54,simulation_prediction,specific_counterpart
cellgebra,https://www.cellgebra.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,a6f0988939f64051baf6dcb0a865b83e,37.31,54.0,50.0,21.0,95.0,3.0,False,94.0,False,1,1,simulation_prediction,repeated_synchronization
quanthealth,https://quanthealth.ai/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,6b6ad5403aa74fc48b36f4bb379587ad,35.32,37.45,26.3,31.2,95.0,56.4,False,92.85,True,8,8,simulation_prediction,individualized_data_link
diagnoz,https://www.diagnoz.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,37312438ba3e4b16be824c4fe6cbefca,33.43,24.0,30.0,72.0,48.0,94.0,True,86.0,False,1,1,repeated_synchronization,specific_counterpart
homox,https://homox.io,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,03b665a1ed414e6f8bc10d95b7b52444,33.22,13.4,47.85,88.9,81.5,98.0,True,81.5,False,20,20,repeated_synchronization,specific_counterpart
aibody,https://aibody.io/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,3c06bf15c3b24bf5942f91daa39863ce,33.14,60.45,21.25,24.2,91.45,64.2,False,94.85,True,18,18,simulation_prediction,individualized_data_link
embodyxr,https://embodyxr.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,b14d9bb5a95a485f80979f4208964096,32.82,21.2,27.0,53.85,87.8,97.6,True,88.45,True,5,5,simulation_prediction,specific_counterpart
corcillum,https://www.corcillum.com.au,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,5bf1ddc121ba4b9dbd74b027222d1ebf,32.76,34.88,24.24,27.94,92.53,96.71,True,91.41,True,2,2,simulation_prediction,individualized_data_link
twynova,https://twynova.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9b9df271a75342aeba5eed4e4ac95287,32.13,26.0,54.0,23.0,66.0,99.0,True,88.0,False,1,1,simulation_prediction,repeated_synchronization
beatlab,https://beatlab.se,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,c99385b575474bd78bc84bc93ce82705,32.02,43.59,52.0,21.41,48.12,68.65,False,82.0,False,2,2,individualized_data_link,repeated_synchronization
A2-AI,https://a2-ai.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9e60ebabc76d428eb3db1a772b0c6d82,31.71,22.7,30.1,32.45,91.2,3.0,False,89.0,True,19,19,simulation_prediction,specific_counterpart
Opyl,https://opyl.netlify.app,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9e7155e2004046d8a5e09356c879408a,27.91,14.45,28.9,53.45,82.85,2.85,False,76.65,False,63,63,simulation_prediction,specific_counterpart
Thoth BioSimulations,https://www.thothbiosimulations.ca,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f5909d9933844463b811b40c684d4e9f,26.54,49.0,16.45,17.6,86.3,2.0,False,88.6,True,6,6,simulation_prediction,individualized_data_link
nexithera,https://www.nexithera.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,fce11fd187c2435cb6a54af8cd4eacef,26.46,15.24,19.65,52.06,85.24,66.94,False,87.12,False,2,2,simulation_prediction,specific_counterpart
Netabolics,https://netabolics.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f9083f51ef1d40819721fe48ea3e42d3,25.86,16.85,23.3,29.8,88.1,3.6,False,90.35,False,4,4,simulation_prediction,specific_counterpart
nbmed,https://nbmed-inc.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,0a35dc91364148baaa2c4926f6dcb343,25.3,25.0,16.0,30.0,82.0,94.0,True,88.0,True,1,1,simulation_prediction,individualized_data_link
Intellaif,https://www.intellaif.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,ca9d991ef70a403e87d4190c7e642d69,24.95,16.0,34.0,20.0,84.0,2.0,False,91.0,False,1,1,simulation_prediction,specific_counterpart
removirt,https://www.removirt.es/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,8852b9b10b6c420cb667529a6a763422,24.86,61.0,28.0,12.0,61.0,98.0,True,93.0,False,1,1,specific_counterpart,repeated_synchronization
cytocast,https://cytocast.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,2ba455c8f2194b719a61992c8f9da639,24.46,21.0,16.0,26.0,94.0,98.0,True,93.0,False,1,1,simulation_prediction,individualized_data_link
Tresalchemix,https://www.tresalchemix.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,758915ab15c64805b2cda11a06395155,24.33,29.47,16.12,20.24,82.18,4.12,False,84.59,True,2,2,simulation_prediction,individualized_data_link
cardiotwin,https://www.cardiotwin.clinic,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,e9fd16f7d83c41438d539ad98656f83a,23.98,23.0,29.0,16.0,69.0,98.0,True,83.0,False,1,1,simulation_prediction,repeated_synchronization
healthycity,https://www.healthycity.it,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f1f2062013de4f2287531836768e33d5,23.02,19.0,16.0,38.0,51.0,96.0,True,82.0,False,1,1,simulation_prediction,individualized_data_link
Ingenix,https://ingenix.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,7ab64882912e4a72aff5b8f26a045c1b,22.22,16.45,17.25,18.85,86.35,2.6,False,85.35,False,4,4,simulation_prediction,specific_counterpart
embody,https://www.embody.bio,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9da4c636a42b4192b790bf471f13ba24,20.97,11.0,24.0,31.0,71.0,97.0,True,85.0,False,1,1,simulation_prediction,specific_counterpart
VirtualMan,https://virtualman.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,db953cb961d04e9baca089a050abd7b2,18.89,8.55,40.1,17.8,72.35,2.85,False,76.95,False,3,3,simulation_prediction,specific_counterpart
canchentech,https://canchentech.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,5ab27c0c8b7b48c5a7cde1128c0abe46,18.82,23.0,14.0,17.0,43.0,3.0,False,65.0,False,1,1,simulation_prediction,individualized_data_link
biomia,https://www.biomia.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,709c79448d4b48a1bc420a1f0b2cc8b6,18.36,15.41,17.12,17.94,36.12,2.0,False,58.88,False,2,2,simulation_prediction,specific_counterpart
simtx,http://bsimtx.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,bac050e321fa456c83aa4ce003b46ce2,17.91,18.0,12.0,17.0,62.0,2.0,False,89.0,False,1,1,simulation_prediction,individualized_data_link
biosimulytics,https://www.biosimulytics.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,e4e3c8e2da7849d0b99714e5d6599221,16.38,14.0,12.0,11.0,86.0,2.0,False,92.0,False,1,1,simulation_prediction,repeated_synchronization
safeats,https://www.safeats.fr/?lang=en,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,0e54f337755747f4bdff767750464e1b,15.96,11.0,17.0,18.0,41.0,2.0,False,77.0,False,1,1,simulation_prediction,specific_counterpart
deepkinetix,https://deepkinetix.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,1ef7ef2fe18944b685757877a8fc29e8,15.28,7.0,21.0,25.0,51.0,96.0,True,67.0,False,1,1,simulation_prediction,specific_counterpart
theorahq,https://theorahq.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,7ae63f762e064d06bea5c1e2e5bd58a8,14.91,10.0,12.0,16.0,57.0,2.0,False,69.0,False,1,1,simulation_prediction,specific_counterpart
depth,https://www.depth.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,08cc4e9acb77400385c78192613cf983,11.57,6.0,13.0,20.0,35.0,2.0,False,52.0,False,1,1,simulation_prediction,specific_counterpart
mutanex,https://mutanex.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,4e0f2dee350d4694863ac7c1d76e29d4,10.26,6.0,18.0,17.0,16.0,3.0,False,30.0,False,1,1,individualized_data_link,specific_counterpart
Fathomtx,https://www.fathomtx.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,95fe6ee104df4add8b77259ab64b0059,6.83,5.0,10.0,12.0,7.0,2.0,False,16.0,False,1,1,repeated_synchronization,specific_counterpart
site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__specific_counterpart,core__individualized_data_link,core__repeated_synchronization,core__simulation_prediction,aux__self_claim,aux__self_claim__flag,aux__enabling_technology,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
novasign,https://novasign.at,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,6404354e393e47418129647ecba29910,69.69,69.5,59.35,87.75,95.0,98.6,True,93.85,True,16,16,simulation_prediction,individualized_data_link
virtonomy,https://www.virtonomy.io,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,5b9414bf4f9a47f09f487e732ada8370,69.55,72.95,63.9,64.65,95.85,98.6,True,94.0,False,30,30,simulation_prediction,individualized_data_link
mytwin,https://mytwin.care/en,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,7511d1d6a7c34f8cb8ed52252f7fbeba,67.76,61.05,58.4,88.25,95.3,98.7,True,90.85,False,24,24,simulation_prediction,individualized_data_link
coredio,https://www.coredio-ai.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,b452ac3e66e1499d8d08586ce6ea8908,65.77,77.0,65.47,76.41,60.29,98.71,True,91.82,False,2,2,specific_counterpart,simulation_prediction
NetTargets,https://www.net-targets.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,de03616d02f5441a8b574f3008067e1d,65.32,75.05,73.4,53.8,95.85,3.6,False,91.45,True,93,93,simulation_prediction,repeated_synchronization
edith,https://www.edith-csa.eu,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,890845ff5e4a491cba050174604ffe8e,65.1,52.45,72.35,81.55,94.45,96.45,True,92.85,False,55,55,simulation_prediction,specific_counterpart
insilicare,https://insilicare.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,0f62e33ee14448c582bf3fac1d90d5a4,62.49,58.0,53.0,82.0,89.0,99.0,True,78.0,False,1,1,simulation_prediction,individualized_data_link
eonflow,https://eonflow.bio/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,68a67cb828044d9a9cd3534f6eb7a7f7,61.05,62.35,48.15,84.85,92.4,97.85,True,90.85,False,5,5,simulation_prediction,individualized_data_link
integratome,https://integratome.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,12daaafbdca0454ab4b076cd74b6d024,60.33,65.75,54.45,57.8,82.35,97.6,True,90.3,False,3,3,simulation_prediction,individualized_data_link
osora,https://osora.de,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,67a3f62cc69b4542a44e2a11be640cb0,58.92,67.0,47.3,64.5,96.6,96.4,True,94.45,False,9,9,simulation_prediction,individualized_data_link
nuraxi,https://nuraxi.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,52f4c4c0deaf40a89e4eee846e63708b,58.1,56.0,54.15,80.6,55.65,71.55,True,87.8,True,5,5,repeated_synchronization,individualized_data_link
neuroteg,https://neuroteg.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,8d51d1449ffa4995b7a10ac61ebebfb1,56.38,49.55,44.7,83.2,92.0,94.65,True,85.45,False,8,8,simulation_prediction,individualized_data_link
vanheronlabs,https://vanheronlabs.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,16892b1fa8484118906ddd9bf5870296,54.95,66.5,53.25,44.15,95.45,98.6,True,83.65,False,4,4,simulation_prediction,repeated_synchronization
biafo,https://www.biafo.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,b35e99481276424d83e63389fe5ba88f,53.65,64.0,38.0,73.0,95.0,99.0,True,88.0,False,1,1,simulation_prediction,individualized_data_link
Bioleap,https://www.bioleap.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f1b4c95157f44f8cb7b16e7faf192692,53.37,53.0,39.0,80.0,95.0,2.0,False,93.0,False,1,1,simulation_prediction,individualized_data_link
InSilicoMinds,https://insilicominds.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,f5bb1e9fd2a144c291d230b7451a7af3,51.92,57.45,69.35,37.4,96.6,81.0,True,94.2,False,65,65,simulation_prediction,repeated_synchronization
avatarsuisse,https://avatarsuisse.com/en/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,739ffcc5709446d5a7b7dd6fa5295117,51.01,85.45,69.5,31.8,87.85,95.65,True,90.45,False,9,9,simulation_prediction,repeated_synchronization
ebenbuild,https://ebenbuild.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,9cb212d661b34a5aabad5be2e577910f,50.88,72.9,60.15,34.5,96.45,99.0,True,92.6,False,5,5,simulation_prediction,repeated_synchronization
mantislabs,https://mantislabs.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,4fd59f1968694dbb9f8cb348eef65540,50.62,34.12,54.12,88.82,87.94,98.71,True,85.71,False,2,2,repeated_synchronization,specific_counterpart
Pumas-AI,https://pumas.ai,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,953dcf8da09c404880d6f022bad88e3b,50.3,45.15,49.9,43.3,93.6,3.6,False,93.6,True,97,97,simulation_prediction,repeated_synchronization
Simmunome,https://www.simmunome.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,ca15f539468348b28a0b1b76a6dfda30,50.09,43.9,57.4,41.2,94.85,4.6,False,93.0,True,5,5,simulation_prediction,repeated_synchronization
virtualbraintech,https://www.virtualbraintech.com,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,2cd6ef2c4f574a2dbde07e8a4e20e02a,49.73,77.95,71.1,29.8,95.45,98.85,True,93.9,False,3,3,simulation_prediction,repeated_synchronization
deeplife,https://deeplife.co/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,d1289c2f9f794947b62b2f0d4539c75d,48.66,63.85,40.25,38.85,93.0,98.85,True,92.6,True,14,14,simulation_prediction,repeated_synchronization
geodaisics,https://geodaisics.com/,digital_twin,1.0.0,3463891b88223936cee611c583bf31a89555d51cad16f003308e2720f1ca78e2,11b0fc788d7845d48728db7c113f34ed,46.78,75.05,36.85,41.25,71.25,96.6,True,80.3,True,18,18,specific_counterpart,individualized_data_link
