site_name,site_url,profile_id,profile_version,profile_sha256,run_id,fit_score,core__specific_counterpart,core__individualized_data_link,core__repeated_synchronization,core__simulation_prediction,core__self_claim,aux__enabling_technology,evidence_is_partial,evidence_chunks_available,evidence_chunks_sent,main_strength,main_gap
insilicare,https://insilicare.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,e12a1504e166428fa29345ab3795759a,83.64,91.0,79.0,73.0,80.0,98.0,88.0,False,1,1,self_claim,repeated_synchronization
nuraxi,https://nuraxi.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,85517d596b6240afaa721326467253f8,83.07,85.2,90.2,81.2,71.8,93.0,93.6,True,5,5,self_claim,simulation_prediction
integratome,https://integratome.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,609afd42ff934849bfa49a723a244194,82.9,86.8,87.0,69.2,74.8,97.0,93.8,False,3,3,self_claim,repeated_synchronization
vanheronlabs,https://vanheronlabs.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,149fe0f4318845f58046ef3588f7906a,80.37,81.2,85.8,30.6,82.2,97.8,93.4,False,4,4,self_claim,repeated_synchronization
xbxbio,https://www.xbxbio.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,3bf4c9b2fe0a458f95f96eb26ef25e9d,79.64,80.4,77.4,65.6,80.8,95.0,92.0,True,12,12,self_claim,repeated_synchronization
biafo,https://www.biafo.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,8a45d7bb10964946ace5c20e8e90f75b,79.21,79.0,79.0,59.0,80.0,98.0,92.0,False,1,1,self_claim,repeated_synchronization
twynova,https://twynova.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6468f02e03004e848b9352c8e752c35f,78.5,86.0,86.0,21.0,73.0,98.0,91.0,False,1,1,self_claim,repeated_synchronization
removirt,https://www.removirt.es/en/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,3a81234151ed415ea2e8e525a3e753a5,77.5,83.0,88.0,22.0,71.0,95.0,94.0,False,1,1,self_claim,repeated_synchronization
eonflow,https://eonflow.bio/en/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,4cdfccda29354ea8a32abd52bb4553ff,77.4,66.4,82.2,70.6,80.2,97.8,95.4,False,5,5,self_claim,specific_counterpart
avatarsbio,https://avatarsbio.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,82c46fb81f9142b4905ed9df085faabe,76.87,70.6,78.6,31.0,88.0,96.4,95.0,False,10,10,self_claim,repeated_synchronization
geodaisics,https://geodaisics.com/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,ef51ae11f3514726bffd72dac90d2805,75.9,85.6,74.8,36.2,72.0,96.8,85.6,True,18,18,self_claim,repeated_synchronization
fulcrumneuro,https://www.fulcrumneuro.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,69559ff548e14ce7829a432f5c526d67,74.44,78.2,76.8,42.0,70.6,97.8,92.0,False,4,4,self_claim,repeated_synchronization
neuroteg,https://neuroteg.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,02fd4505c954494fa17f6b3c692ec033,73.77,72.0,73.2,81.2,69.2,94.0,91.6,False,8,8,self_claim,simulation_prediction
theranetrix,https://theranetrix.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,3092426165144ff7908d0b860ffca56e,73.29,67.8,73.6,71.0,73.2,96.6,91.0,True,54,54,self_claim,specific_counterpart
mydigitaltwin,https://www.mydigitaltwin.at,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,9babe478305b4c0683484505a7dec255,72.87,79.2,86.8,48.8,52.6,97.0,74.4,True,84,84,self_claim,repeated_synchronization
lxr,https://l-x-r.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,4ccc753307dd4fbbbb2ea539355ddc9c,71.86,64.6,81.6,77.0,61.6,97.8,84.4,False,3,3,self_claim,simulation_prediction
NetTargets,https://www.net-targets.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,265e97268fe24a629f8bc164fa73ef98,71.46,77.8,76.4,37.6,85.0,6.0,93.8,True,93,93,simulation_prediction,self_claim
InSilicoMinds,https://insilicominds.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,5c0d2e54de104ed9b0af8f0b13a233d7,70.83,62.0,75.6,23.4,85.0,77.8,94.8,False,65,65,simulation_prediction,repeated_synchronization
corcillum,https://www.corcillum.com.au,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,a55be393f6234a2891ab44387b042c2d,70.17,72.0,70.6,26.2,72.6,95.4,94.8,True,2,2,self_claim,repeated_synchronization
homox,https://homox.io,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6730752f55a14fc899d94a4998bbcf83,70.13,65.8,73.8,75.4,62.6,97.6,89.4,False,20,20,self_claim,simulation_prediction
cellgebra,https://www.cellgebra.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,f9c8b0cf30844fd18bf60f84fa9333ca,70.0,66.0,80.0,23.0,83.0,41.0,93.0,False,1,1,simulation_prediction,repeated_synchronization
brainboostxr,https://www.brainboostxr.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,cc333e4021184ffebb397c8604c406b9,69.76,79.6,67.0,68.6,56.4,96.0,88.6,False,4,4,self_claim,simulation_prediction
deeplife,https://deeplife.co/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6cf650d30160436a85d8ade5816f479f,68.57,57.4,68.8,32.4,81.2,98.0,95.0,True,14,14,self_claim,repeated_synchronization
cardiotwin,https://www.cardiotwin.clinic,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,796205606c3349de85bd7f83d28acd6e,67.43,77.0,75.0,19.0,55.0,97.0,77.0,False,1,1,self_claim,repeated_synchronization
cellverse,https://www.cellverse.org,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6595dccd45124315bedef0207cfe680b,67.26,64.8,65.0,31.6,73.2,98.0,92.8,False,3,3,self_claim,repeated_synchronization
diagnoz,https://www.diagnoz.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,5427a37155fb401997913e67c4f8486f,65.86,64.0,68.0,63.0,59.0,95.0,89.0,False,1,1,self_claim,simulation_prediction
beatlab,https://beatlab.se,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,5a85e92b38984ccfbd4993eb868e82c9,65.59,71.4,72.0,19.2,61.8,78.2,89.0,False,2,2,self_claim,repeated_synchronization
embodyxr,https://embodyxr.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,48e49dff928245658b1da94718f7080a,61.76,54.6,60.6,36.4,67.6,97.0,91.6,True,5,5,self_claim,repeated_synchronization
Pumas-AI,https://pumas.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,4172c804094d43f4b9476c7d6b90d242,58.84,46.4,62.2,60.6,80.8,5.6,93.8,True,97,97,simulation_prediction,self_claim
quanthealth,https://quanthealth.ai/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,f44bd2145cef43ed8f865957426b588f,56.51,52.4,38.8,51.8,74.8,75.4,93.8,True,8,8,self_claim,individualized_data_link
Bioleap,https://www.bioleap.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,850418fdbc464d59b5e6c6ec2fa35e0c,56.14,35.0,61.0,87.0,78.0,3.0,93.0,False,1,1,repeated_synchronization,self_claim
Simmunome,https://www.simmunome.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,1136e7f5927d4cfda9ba4e7b63ec4688,55.91,44.8,66.0,38.2,73.0,9.4,93.0,True,5,5,simulation_prediction,self_claim
healthycity,https://www.healthycity.it,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,ee9e1480a3c14ea58b2b11f4b0187395,50.71,57.0,44.0,22.0,48.0,92.0,88.0,False,1,1,self_claim,repeated_synchronization
embody,https://www.embody.bio,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6012b89e67794da8b841413e35796c32,48.79,51.0,37.0,21.0,54.0,94.0,91.0,False,1,1,self_claim,repeated_synchronization
nexithera,https://www.nexithera.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,e02c41f05da641e8b828703524ae78fd,43.79,34.2,36.4,46.0,52.2,75.8,90.8,False,2,2,self_claim,specific_counterpart
aibody,https://aibody.io/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,23f2cc46dcaf49a5b1d7ea4c67a2840d,43.67,41.4,21.4,25.4,60.0,94.8,95.0,True,18,18,self_claim,individualized_data_link
Opyl,https://opyl.netlify.app,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6334736396dc4d4b93d917a495b549be,40.5,31.8,27.2,78.2,62.2,4.0,81.8,False,63,63,repeated_synchronization,self_claim
cytocast,https://cytocast.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,4a7d1af06b854998ad56cf2fe42baf14,39.43,24.0,16.0,19.0,69.0,97.0,94.0,False,1,1,self_claim,individualized_data_link
A2-AI,https://a2-ai.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,9aee5df474d8417ea3e6bee15e313177,35.86,27.2,23.8,28.4,66.4,4.0,91.6,True,19,19,simulation_prediction,self_claim
Thoth BioSimulations,https://www.thothbiosimulations.ca,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,f715beccdeaf48beae83470aaa00e78b,35.53,21.4,32.2,15.2,66.2,3.0,89.6,True,6,6,simulation_prediction,self_claim
Netabolics,https://netabolics.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,002024c2f2e941eb86f0813506f6a4e0,34.7,14.0,33.0,38.8,63.0,7.0,92.8,False,4,4,simulation_prediction,self_claim
Intellaif,https://www.intellaif.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,a5a5e6c4971e4bedb539bfb2ab111446,34.43,13.0,38.0,31.0,61.0,3.0,87.0,False,1,1,simulation_prediction,self_claim
nbmed,https://nbmed-inc.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,40d03b46ffb644c8b3a0cedae866b994,34.14,26.0,21.0,17.0,45.0,93.0,92.0,True,1,1,self_claim,repeated_synchronization
Ingenix,https://ingenix.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,db3d1056d9f14786ba6bf63dd092e65b,33.46,17.2,30.8,18.8,63.4,4.0,88.2,False,4,4,simulation_prediction,self_claim
safeats,https://www.safeats.fr/?lang=en,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,7cc89e33d5e54315bbed359ea022d62d,32.29,21.0,46.0,22.0,40.0,2.0,68.0,False,1,1,individualized_data_link,self_claim
Basgenbio,https://basgenbio.com/en/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,8c709414f5f943b79e7ed1589966752f,32.13,15.8,28.2,34.6,57.6,8.8,90.6,True,7,7,simulation_prediction,self_claim
biosimulytics,https://www.biosimulytics.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6fa005bf3cd64461add03d37ba59e5a1,29.86,33.0,13.0,16.0,54.0,2.0,90.0,False,1,1,simulation_prediction,self_claim
biomedsimulation,https://www.biomedsimulation.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,0da522780ba248bc837addc9621676ba,29.64,30.8,13.0,16.2,54.4,6.0,93.8,True,126,126,simulation_prediction,self_claim
Tresalchemix,https://www.tresalchemix.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,94e2e54dcd5c4e8684d931ba664d3417,28.27,14.0,16.4,15.2,62.2,10.2,88.2,True,2,2,simulation_prediction,self_claim
deepkinetix,https://deepkinetix.com/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,6e26bf3e138b4866ac06e8e75ae09f02,24.79,10.0,19.0,15.0,30.0,96.0,37.0,False,1,1,self_claim,specific_counterpart
VirtualMan,https://virtualman.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,50213c55ef9447eb9f2565d260968871,24.4,16.2,21.0,41.8,37.0,3.0,79.2,False,3,3,repeated_synchronization,self_claim
canchentech,https://canchentech.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,c64b6e671cea4301af48964ef1a9c43d,21.36,11.0,15.0,15.0,42.0,12.0,67.0,False,1,1,simulation_prediction,specific_counterpart
theorahq,https://theorahq.com/,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,9dcedfcb79f64dfa89edd0207c750c28,20.21,18.0,19.0,12.0,30.0,3.0,79.0,False,1,1,simulation_prediction,self_claim
simtx,http://bsimtx.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,733d8600cdbd463795a4c9fcadb1f7df,16.86,9.0,9.0,10.0,38.0,2.0,84.0,False,1,1,simulation_prediction,self_claim
depth,https://www.depth.ai,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,9d37faa3ee82410da004ffbb17146976,15.79,7.0,15.0,14.0,29.0,3.0,40.0,False,1,1,simulation_prediction,self_claim
biomia,https://www.biomia.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,68c412c21bd949a3b359e9efcfd2d5f1,14.94,11.2,9.0,12.8,28.2,2.8,76.6,False,2,2,simulation_prediction,self_claim
mutanex,https://mutanex.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,4e282f7cd72f47e69842ea76826be105,11.14,8.0,14.0,13.0,13.0,3.0,14.0,False,1,1,individualized_data_link,self_claim
Fathomtx,https://www.fathomtx.com,digital_twin,2.0.0,0065a331ae8afb4d4658fdcbec16d8da0ca750ee952ca52b45f60f61d93fcca9,41b2310e18694e3abc4482becdfb015b,8.43,5.0,11.0,11.0,10.0,3.0,7.0,False,1,1,individualized_data_link,self_claim
