site_name;site_url;fit_score;core__functional_de_para_fit;aux__patient_caregiver_education;aux__patient_caregiver_education__flag;aux__healthcare_professional_education;aux__healthcare_professional_education__flag;aux__clinical_history_record;aux__clinical_history_record__flag;aux__care_coordination_navigation;aux__care_coordination_navigation__flag;aux__daily_self_management;aux__daily_self_management__flag;aux__monitoring_follow_up;aux__monitoring_follow_up__flag;aux__prescription_care_plan_management;aux__prescription_care_plan_management__flag;aux__emergency_transition_support;aux__emergency_transition_support__flag;aux__operational_solution_evidence;aux__operational_solution_evidence__flag;aux__direct_gsd_relevance;aux__direct_gsd_relevance__flag;aux__adjacent_rare_metabolic_context;aux__adjacent_rare_metabolic_context__flag;aux__explicit_cross_condition_configurability;aux__explicit_cross_condition_configurability__flag;main_strength;main_gap
konko;https://konko.ai/home;77.65;77.65;48.15;FALSE;19.85;FALSE;82.95;TRUE;86.7;TRUE;64.25;FALSE;79.7;TRUE;40.35;FALSE;58.2;FALSE;83.3;TRUE;3.0;FALSE;4.6;FALSE;66.15;FALSE;functional_de_para_fit;functional_de_para_fit
callyope;https://www.callyope.com;77.6;77.6;18.8;FALSE;18.05;FALSE;83.85;TRUE;31.45;FALSE;68.45;FALSE;91.6;TRUE;26.6;FALSE;52.65;FALSE;65.4;FALSE;3.6;FALSE;11.95;FALSE;30.45;FALSE;functional_de_para_fit;functional_de_para_fit
crossoverhealth;https://crossoverhealth.com;77.2;77.2;84.85;TRUE;45.85;FALSE;78.25;TRUE;90.85;TRUE;63.45;FALSE;81.1;TRUE;79.45;TRUE;49.85;FALSE;65.45;FALSE;3.0;FALSE;6.2;FALSE;31.5;FALSE;functional_de_para_fit;functional_de_para_fit
helloprofessor;https://www.helloprofessor.com;76.9;76.9;96.0;TRUE;63.0;FALSE;20.0;FALSE;43.65;FALSE;65.8;FALSE;56.05;FALSE;52.45;FALSE;57.25;FALSE;71.4;TRUE;3.85;FALSE;62.35;FALSE;50.0;FALSE;functional_de_para_fit;functional_de_para_fit
mpharma;https://mpharma.com;76.55;76.55;67.4;FALSE;57.3;FALSE;42.55;FALSE;71.55;TRUE;75.5;TRUE;81.45;TRUE;73.95;TRUE;38.7;FALSE;67.1;FALSE;3.0;FALSE;6.3;FALSE;31.65;FALSE;functional_de_para_fit;functional_de_para_fit
medrafa;https://medrafa.et;76.45;76.45;39.3;FALSE;27.9;FALSE;75.45;TRUE;60.9;FALSE;58.85;FALSE;22.1;FALSE;91.1;TRUE;54.5;FALSE;62.85;FALSE;2.6;FALSE;4.0;FALSE;16.0;FALSE;functional_de_para_fit;functional_de_para_fit
murphi;https://murphi.ai;76.4;76.4;81.3;TRUE;75.6;TRUE;85.95;TRUE;84.05;TRUE;71.55;TRUE;91.25;TRUE;81.8;TRUE;83.45;TRUE;74.95;TRUE;3.0;FALSE;32.75;FALSE;64.7;FALSE;functional_de_para_fit;functional_de_para_fit
conexasaude;https://www.conexasaude.com.br;76.0;76.0;84.55;TRUE;66.65;FALSE;86.2;TRUE;84.85;TRUE;64.4;FALSE;78.05;TRUE;83.4;TRUE;56.75;FALSE;68.25;FALSE;3.6;FALSE;8.6;FALSE;50.05;FALSE;functional_de_para_fit;functional_de_para_fit
iprescribe;https://www.iprescribe.com;75.2;75.2;36.8;FALSE;34.7;FALSE;81.85;TRUE;43.5;FALSE;27.7;FALSE;13.4;FALSE;91.15;TRUE;44.35;FALSE;70.05;TRUE;2.6;FALSE;5.2;FALSE;20.25;FALSE;functional_de_para_fit;functional_de_para_fit
scriptologyhealth;https://scriptologyhealth.com;75.05;75.05;61.1;FALSE;30.6;FALSE;75.45;TRUE;72.55;TRUE;71.65;TRUE;85.4;TRUE;87.35;TRUE;51.85;FALSE;41.9;FALSE;3.0;FALSE;4.6;FALSE;32.85;FALSE;functional_de_para_fit;functional_de_para_fit
ambitos;https://ambitos.com;74.0;74.0;38.0;FALSE;13.0;FALSE;65.0;FALSE;84.0;TRUE;55.0;FALSE;82.0;TRUE;26.0;FALSE;50.0;FALSE;59.0;FALSE;2.0;FALSE;3.0;FALSE;31.0;FALSE;functional_de_para_fit;functional_de_para_fit
docdok;https://www.docdok.health/en;73.7;73.7;37.9;FALSE;13.95;FALSE;53.5;FALSE;42.45;FALSE;67.7;FALSE;89.2;TRUE;33.25;FALSE;31.4;FALSE;62.7;FALSE;3.0;FALSE;5.0;FALSE;25.95;FALSE;functional_de_para_fit;functional_de_para_fit
lumiio;https://www.lumiio.com/airare;73.65;73.65;48.55;FALSE;17.3;FALSE;66.3;FALSE;44.35;FALSE;71.4;TRUE;87.4;TRUE;27.65;FALSE;28.5;FALSE;61.0;FALSE;4.0;FALSE;93.85;TRUE;56.0;FALSE;functional_de_para_fit;functional_de_para_fit
experityhealth;https://www.experityhealth.com/;73.6;73.6;53.6;FALSE;76.95;TRUE;90.25;TRUE;77.15;TRUE;45.45;FALSE;68.9;FALSE;64.1;FALSE;74.2;TRUE;79.5;TRUE;2.6;FALSE;4.6;FALSE;43.65;FALSE;functional_de_para_fit;functional_de_para_fit
perxhealth;https://www.perxhealth.com;73.25;73.25;61.85;FALSE;15.7;FALSE;30.3;FALSE;66.3;FALSE;87.8;TRUE;83.45;TRUE;84.7;TRUE;21.7;FALSE;69.65;FALSE;3.0;FALSE;7.2;FALSE;63.9;FALSE;functional_de_para_fit;functional_de_para_fit
pranadoc;https://www.pranadoc.com;72.8;72.8;90.6;TRUE;10.45;FALSE;61.4;FALSE;75.35;TRUE;47.85;FALSE;56.6;FALSE;69.15;FALSE;55.45;FALSE;68.6;FALSE;3.0;FALSE;16.4;FALSE;40.1;FALSE;functional_de_para_fit;functional_de_para_fit
dosespot;https://dosespot.com;72.25;72.25;41.3;FALSE;61.8;FALSE;71.6;TRUE;42.2;FALSE;46.0;FALSE;27.65;FALSE;93.75;TRUE;51.5;FALSE;77.45;TRUE;7.2;FALSE;6.2;FALSE;42.3;FALSE;functional_de_para_fit;functional_de_para_fit
capsule;https://www.capsule.com;72.0;72.0;17.0;FALSE;6.0;FALSE;12.0;FALSE;71.0;TRUE;62.0;FALSE;29.0;FALSE;90.0;TRUE;27.0;FALSE;67.0;FALSE;3.0;FALSE;3.0;FALSE;10.0;FALSE;functional_de_para_fit;functional_de_para_fit
medcast;https://medcast.com.au;72.0;72.0;88.05;TRUE;97.0;TRUE;43.5;FALSE;78.6;TRUE;83.75;TRUE;76.5;TRUE;85.15;TRUE;56.7;FALSE;69.55;FALSE;3.6;FALSE;74.25;TRUE;50.35;FALSE;functional_de_para_fit;functional_de_para_fit
pocketpills;https://www.pocketpills.com;72.0;72.0;67.6;FALSE;13.85;FALSE;54.6;FALSE;60.75;FALSE;75.6;TRUE;22.0;FALSE;92.45;TRUE;40.8;FALSE;66.75;FALSE;3.0;FALSE;19.9;FALSE;21.6;FALSE;functional_de_para_fit;functional_de_para_fit
pairteam;https://pairteam.com;71.8;71.8;33.0;FALSE;6.9;FALSE;41.95;FALSE;89.45;TRUE;64.1;FALSE;75.25;TRUE;73.2;TRUE;50.6;FALSE;61.15;FALSE;3.0;FALSE;3.6;FALSE;17.35;FALSE;functional_de_para_fit;functional_de_para_fit
healthconcierge;https://healthconcierge.co;71.15;71.15;16.65;FALSE;9.6;FALSE;14.05;FALSE;92.85;TRUE;22.45;FALSE;48.45;FALSE;46.3;FALSE;67.2;FALSE;50.75;FALSE;3.0;FALSE;3.85;FALSE;19.65;FALSE;functional_de_para_fit;functional_de_para_fit
ephion;https://www.ephion.health;70.85;70.85;9.6;FALSE;9.8;FALSE;75.05;TRUE;12.6;FALSE;70.25;TRUE;91.6;TRUE;15.7;FALSE;18.9;FALSE;67.4;FALSE;6.65;FALSE;76.15;TRUE;85.5;TRUE;functional_de_para_fit;functional_de_para_fit
preventscripts;https://www.preventscripts.com;70.55;70.55;87.7;TRUE;67.8;FALSE;44.45;FALSE;48.2;FALSE;82.2;TRUE;92.15;TRUE;80.85;TRUE;24.4;FALSE;64.3;FALSE;3.0;FALSE;9.35;FALSE;33.55;FALSE;functional_de_para_fit;functional_de_para_fit
startup;https://startup.google.com/alumni/stories/careacademy/;70.55;70.55;63.3;FALSE;62.25;FALSE;70.05;TRUE;76.4;TRUE;78.85;TRUE;82.1;TRUE;73.1;TRUE;51.75;FALSE;71.0;TRUE;3.0;FALSE;29.4;FALSE;50.25;FALSE;functional_de_para_fit;functional_de_para_fit
amboss;https://www.amboss.com/int;70.05;70.05;67.1;FALSE;95.6;TRUE;13.8;FALSE;63.95;FALSE;48.3;FALSE;16.85;FALSE;58.85;FALSE;70.65;TRUE;77.75;TRUE;4.6;FALSE;37.85;FALSE;44.05;FALSE;functional_de_para_fit;functional_de_para_fit
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oxfordmedicalsimulation;https://oxfordmedicalsimulation.com;69.65;69.65;47.15;FALSE;97.0;TRUE;22.55;FALSE;61.15;FALSE;12.0;FALSE;45.85;FALSE;29.45;FALSE;42.35;FALSE;78.6;TRUE;3.0;FALSE;10.0;FALSE;60.65;FALSE;functional_de_para_fit;functional_de_para_fit
medarrive;https://www.medarrive.com;69.05;69.05;14.75;FALSE;8.15;FALSE;17.75;FALSE;94.05;TRUE;21.3;FALSE;60.6;FALSE;36.25;FALSE;58.9;FALSE;51.65;FALSE;2.0;FALSE;3.0;FALSE;15.35;FALSE;functional_de_para_fit;functional_de_para_fit
patientory;https://patientory.com/enterprises/individuals;68.1;68.1;55.7;FALSE;20.6;FALSE;75.55;TRUE;48.95;FALSE;61.9;FALSE;60.85;FALSE;60.45;FALSE;42.65;FALSE;39.7;FALSE;3.0;FALSE;18.25;FALSE;25.6;FALSE;functional_de_para_fit;functional_de_para_fit
withpillar;https://withpillar.com;68.05;68.05;84.25;TRUE;38.6;FALSE;18.0;FALSE;58.75;FALSE;52.9;FALSE;63.9;FALSE;58.4;FALSE;22.5;FALSE;61.95;FALSE;3.0;FALSE;4.85;FALSE;47.8;FALSE;functional_de_para_fit;functional_de_para_fit
crescendo;https://www.crescendo.health;67.95;67.95;12.45;FALSE;7.45;FALSE;84.9;TRUE;20.85;FALSE;35.7;FALSE;74.25;TRUE;11.05;FALSE;31.45;FALSE;50.5;FALSE;4.0;FALSE;6.6;FALSE;12.3;FALSE;functional_de_para_fit;functional_de_para_fit
nome;https://www.nome.bio/about;67.05;67.05;76.4;TRUE;39.5;FALSE;15.05;FALSE;83.3;TRUE;15.2;FALSE;30.4;FALSE;82.15;TRUE;17.6;FALSE;57.4;FALSE;6.45;FALSE;94.0;TRUE;58.45;FALSE;functional_de_para_fit;functional_de_para_fit
omanta;https://omanta.com;67.0;67.0;11.0;FALSE;12.0;FALSE;58.0;FALSE;77.0;TRUE;17.0;FALSE;44.0;FALSE;65.0;FALSE;16.0;FALSE;33.0;FALSE;3.0;FALSE;53.0;FALSE;52.0;FALSE;functional_de_para_fit;functional_de_para_fit
rdcom;https://rdcom.global;66.71;66.71;32.88;FALSE;33.71;FALSE;66.35;FALSE;63.82;FALSE;46.76;FALSE;72.53;TRUE;75.41;TRUE;25.12;FALSE;38.53;FALSE;5.71;FALSE;93.41;TRUE;59.94;FALSE;functional_de_para_fit;functional_de_para_fit
learnroll;https://learnroll.com/en-us/home.aspx;66.65;66.65;90.6;TRUE;96.0;TRUE;12.3;FALSE;22.2;FALSE;45.95;FALSE;44.45;FALSE;32.5;FALSE;29.55;FALSE;59.55;FALSE;3.0;FALSE;5.0;FALSE;71.55;TRUE;functional_de_para_fit;functional_de_para_fit
careyaya;https://www.careyaya.org;66.05;66.05;82.45;TRUE;60.75;FALSE;31.3;FALSE;66.0;FALSE;76.45;TRUE;86.4;TRUE;73.85;TRUE;58.4;FALSE;68.05;FALSE;4.6;FALSE;21.05;FALSE;31.35;FALSE;functional_de_para_fit;functional_de_para_fit
we4care;https://www.we4care.ch;66.0;66.0;40.0;FALSE;8.0;FALSE;22.0;FALSE;86.0;TRUE;73.0;TRUE;34.0;FALSE;78.0;TRUE;43.0;FALSE;49.0;FALSE;3.0;FALSE;29.0;FALSE;28.0;FALSE;functional_de_para_fit;functional_de_para_fit
ferry;https://ferry.health;65.7;65.7;10.4;FALSE;5.8;FALSE;12.1;FALSE;85.9;TRUE;26.0;FALSE;30.55;FALSE;16.6;FALSE;19.6;FALSE;69.0;FALSE;2.85;FALSE;4.0;FALSE;9.85;FALSE;functional_de_para_fit;functional_de_para_fit
parachutehealth;https://www.parachutehealth.com;64.85;64.85;34.15;FALSE;28.0;FALSE;29.95;FALSE;88.2;TRUE;43.35;FALSE;57.2;FALSE;90.6;TRUE;47.65;FALSE;77.85;TRUE;3.0;FALSE;6.6;FALSE;48.7;FALSE;functional_de_para_fit;functional_de_para_fit
photonhealth;https://photonhealth.com;62.25;62.25;14.05;FALSE;8.6;FALSE;29.0;FALSE;70.8;TRUE;36.45;FALSE;59.35;FALSE;94.45;TRUE;45.9;FALSE;84.65;TRUE;3.0;FALSE;4.85;FALSE;29.7;FALSE;functional_de_para_fit;functional_de_para_fit
arine;https://www.arine.io;61.95;61.95;60.0;FALSE;32.75;FALSE;54.2;FALSE;72.3;TRUE;36.3;FALSE;67.7;FALSE;84.85;TRUE;27.95;FALSE;60.8;FALSE;2.6;FALSE;4.85;FALSE;36.8;FALSE;functional_de_para_fit;functional_de_para_fit
neuralconsult;https://www.neuralconsult.com;61.95;61.95;59.25;FALSE;94.0;TRUE;38.3;FALSE;30.0;FALSE;21.8;FALSE;38.15;FALSE;26.0;FALSE;26.05;FALSE;67.0;FALSE;5.4;FALSE;50.6;FALSE;58.5;FALSE;functional_de_para_fit;functional_de_para_fit
elemenohealth;https://www.elemenohealth.com;61.5;61.5;33.05;FALSE;96.0;TRUE;18.95;FALSE;51.5;FALSE;17.85;FALSE;12.6;FALSE;14.45;FALSE;73.15;TRUE;74.05;TRUE;2.6;FALSE;5.0;FALSE;49.7;FALSE;functional_de_para_fit;functional_de_para_fit
healthstay;https://www.healthstay.io;60.5;60.5;18.4;FALSE;8.45;FALSE;23.85;FALSE;91.05;TRUE;19.65;FALSE;57.35;FALSE;39.65;FALSE;33.3;FALSE;56.65;FALSE;2.6;FALSE;4.0;FALSE;37.35;FALSE;functional_de_para_fit;functional_de_para_fit
garnerhealth;https://garnerhealth.com;60.2;60.2;38.2;FALSE;19.45;FALSE;50.7;FALSE;77.45;TRUE;19.4;FALSE;35.05;FALSE;22.4;FALSE;17.85;FALSE;71.25;TRUE;3.0;FALSE;16.8;FALSE;36.15;FALSE;functional_de_para_fit;functional_de_para_fit
raresum;https://www.raresum.com;60.0;60.0;12.3;FALSE;36.45;FALSE;68.5;FALSE;71.7;TRUE;11.2;FALSE;13.2;FALSE;32.0;FALSE;24.3;FALSE;41.3;FALSE;4.6;FALSE;90.45;TRUE;51.75;FALSE;functional_de_para_fit;functional_de_para_fit
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
medvarsity;https://www.medvarsity.com;59.75;59.75;65.45;FALSE;97.0;TRUE;14.8;FALSE;35.4;FALSE;26.25;FALSE;30.55;FALSE;35.35;FALSE;31.25;FALSE;62.6;FALSE;3.6;FALSE;61.85;FALSE;29.8;FALSE;functional_de_para_fit;functional_de_para_fit
educators;https://educators.sketchy.com;57.8;57.8;42.45;FALSE;95.0;TRUE;20.75;FALSE;29.0;FALSE;10.85;FALSE;46.05;FALSE;25.85;FALSE;16.65;FALSE;77.8;TRUE;3.0;FALSE;9.45;FALSE;55.05;FALSE;functional_de_para_fit;functional_de_para_fit
nevvon;https://www.nevvon.com;57.7;57.7;91.75;TRUE;89.05;TRUE;9.15;FALSE;39.45;FALSE;50.4;FALSE;35.7;FALSE;15.45;FALSE;29.75;FALSE;62.2;FALSE;3.0;FALSE;6.8;FALSE;41.05;FALSE;functional_de_para_fit;functional_de_para_fit
kaigohealth;https://www.kaigohealth.ai;56.29;56.29;34.06;FALSE;5.0;FALSE;10.71;FALSE;62.76;FALSE;21.35;FALSE;62.0;FALSE;11.71;FALSE;26.82;FALSE;53.12;FALSE;2.0;FALSE;3.0;FALSE;7.71;FALSE;functional_de_para_fit;functional_de_para_fit
flourish;https://www.flourish.health;53.55;53.55;67.85;FALSE;41.7;FALSE;49.5;FALSE;67.2;FALSE;56.5;FALSE;85.8;TRUE;72.45;TRUE;29.95;FALSE;56.0;FALSE;2.6;FALSE;3.0;FALSE;8.2;FALSE;functional_de_para_fit;functional_de_para_fit
embodiedlabs;https://www.embodiedlabs.com;53.45;53.45;84.5;TRUE;94.45;TRUE;6.0;FALSE;22.15;FALSE;19.0;FALSE;14.25;FALSE;10.85;FALSE;17.05;FALSE;70.4;TRUE;3.0;FALSE;11.8;FALSE;65.65;FALSE;functional_de_para_fit;functional_de_para_fit
matkahealth;https://matkahealth.carrd.co/;50.0;50.0;83.0;TRUE;7.0;FALSE;16.0;FALSE;81.0;TRUE;63.0;FALSE;90.0;TRUE;37.0;FALSE;53.0;FALSE;48.0;FALSE;2.0;FALSE;3.0;FALSE;8.0;FALSE;functional_de_para_fit;functional_de_para_fit
docquity;https://docquity.com;49.8;49.8;65.7;FALSE;94.8;TRUE;28.05;FALSE;47.3;FALSE;31.1;FALSE;62.9;FALSE;32.45;FALSE;44.5;FALSE;49.05;FALSE;13.2;FALSE;93.45;TRUE;45.3;FALSE;functional_de_para_fit;functional_de_para_fit
saventic;https://www.saventic.com;48.2;48.2;24.0;FALSE;11.45;FALSE;44.8;FALSE;70.85;TRUE;16.05;FALSE;17.1;FALSE;18.55;FALSE;17.5;FALSE;73.7;TRUE;6.4;FALSE;95.6;TRUE;41.05;FALSE;functional_de_para_fit;functional_de_para_fit
fortahealth;https://www.fortahealth.com/parent-training;48.15;48.15;87.45;TRUE;62.45;FALSE;33.15;FALSE;73.3;TRUE;67.15;FALSE;74.05;TRUE;78.45;TRUE;33.15;FALSE;64.05;FALSE;2.6;FALSE;6.85;FALSE;14.9;FALSE;functional_de_para_fit;functional_de_para_fit
lecturio;https://www.lecturio.com/v1/;48.0;48.0;76.0;TRUE;96.6;TRUE;11.05;FALSE;28.85;FALSE;18.9;FALSE;20.8;FALSE;13.45;FALSE;37.5;FALSE;63.85;FALSE;14.75;FALSE;67.65;FALSE;55.15;FALSE;functional_de_para_fit;functional_de_para_fit
medvoice;https://www.medvoice.ai;47.0;47.0;79.0;TRUE;16.0;FALSE;36.0;FALSE;40.0;FALSE;65.0;FALSE;79.0;TRUE;42.0;FALSE;58.0;FALSE;15.0;FALSE;3.0;FALSE;8.0;FALSE;43.0;FALSE;functional_de_para_fit;functional_de_para_fit
